n_features,added,features,games,accuracy,log_loss,brier
1,total_epa_l8_diff,total_epa_l8_diff,3018,0.6096752816434725,0.6529508938364477,0.2307646953393972
2,def_pass_epa_l8_diff,total_epa_l8_diff;def_pass_epa_l8_diff,3018,0.6202783300198808,0.6442300960231865,0.22665411968352508
3,success_rate_ewm_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff,3018,0.6245858184227966,0.6414535559838402,0.22538214244576732
4,sack_rate_l5_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff;sack_rate_l5_diff,3018,0.6259111994698476,0.6400763503665247,0.22475788184429757
5,cpoe_l8_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff;sack_rate_l5_diff;cpoe_l8_diff,3018,0.6275679257786614,0.6395945381515862,0.2245120772771571
6,success_rate_l8_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff;sack_rate_l5_diff;cpoe_l8_diff;success_rate_l8_diff,3018,0.6308813783962889,0.6393192549644844,0.22436349812265802
7,wp_added_l5_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff;sack_rate_l5_diff;cpoe_l8_diff;success_rate_l8_diff;wp_added_l5_diff,3018,0.6325381047051027,0.6389381402529669,0.2241532113712536
8,def_turnovers_per_drive_ewm_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff;sack_rate_l5_diff;cpoe_l8_diff;success_rate_l8_diff;wp_added_l5_diff;def_turnovers_per_drive_ewm_diff,3018,0.6322067594433399,0.6387006976821972,0.2240584257805328
9,def_turnovers_per_drive_l8_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff;sack_rate_l5_diff;cpoe_l8_diff;success_rate_l8_diff;wp_added_l5_diff;def_turnovers_per_drive_ewm_diff;def_turnovers_per_drive_l8_diff,3018,0.6315440689198144,0.6385192047597429,0.22396681130477683
10,explosive_pass_rate_l8_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff;sack_rate_l5_diff;cpoe_l8_diff;success_rate_l8_diff;wp_added_l5_diff;def_turnovers_per_drive_ewm_diff;def_turnovers_per_drive_l8_diff;explosive_pass_rate_l8_diff,3018,0.6318754141815772,0.6384049721269949,0.22391570878305553
11,success_rate_l5_diff,total_epa_l8_diff;def_pass_epa_l8_diff;success_rate_ewm_diff;sack_rate_l5_diff;cpoe_l8_diff;success_rate_l8_diff;wp_added_l5_diff;def_turnovers_per_drive_ewm_diff;def_turnovers_per_drive_l8_diff;explosive_pass_rate_l8_diff;success_rate_l5_diff,3018,0.6318754141815772,0.6382964936942616,0.22386127345376683
