feature,games,accuracy,log_loss,brier
total_epa_l8_diff,3018,0.6096752816434725,0.6529508938364477,0.2307646953393972
epa_per_play_l8_diff,3018,0.6053677932405567,0.6529595457627942,0.230753224240408
success_rate_l8_diff,3018,0.6133200795228628,0.6531077967946345,0.23069098998862392
pass_epa_l8_diff,3018,0.6096752816434725,0.6558593696353486,0.23201325865768924
success_rate_ewm_diff,3018,0.600728959575878,0.6575970075185384,0.23292748089433135
success_rate_l5_diff,3018,0.6023856858846919,0.658364792454002,0.2332350269203293
epa_per_play_l5_diff,3018,0.6003976143141153,0.6586804033311271,0.23339746986497123
total_epa_l5_diff,3018,0.6027170311464546,0.6588102759838164,0.23346579269880763
yards_per_play_l8_diff,3018,0.5990722332670643,0.6601219099085691,0.23395969494760332
pass_success_l8_diff,3018,0.6060304837640822,0.6605717312639737,0.23418530086170217
epa_per_play_ewm_diff,3018,0.598078197481776,0.6606324221389482,0.23436704018911758
total_epa_ewm_diff,3018,0.5957587806494367,0.6607084145012841,0.2344245897328812
first_down_rate_l8_diff,3018,0.6040424121935056,0.6610135459121699,0.23439531219918705
wp_added_l8_diff,3018,0.5934393638170974,0.6611609442440806,0.23450696095383458
pass_epa_l5_diff,3018,0.5977468522200132,0.66153830820919,0.2346631560476454
early_down_epa_l8_diff,3018,0.5917826375082836,0.6632892119760896,0.23550972673617018
pass_epa_ewm_diff,3018,0.596752816434725,0.6642637492590788,0.23598117780012
first_down_rate_l5_diff,3018,0.5960901259111995,0.6642951432539242,0.235986288353757
pass_success_l5_diff,3018,0.5931080185553347,0.664521701475485,0.23612589316767454
wp_added_l5_diff,3018,0.5914512922465208,0.6645587683468701,0.2360733500851055
pass_success_ewm_diff,3018,0.5921139827700463,0.6647387770178597,0.23622900376410885
success_rate_l3_diff,3018,0.5897945659377071,0.6650134279614358,0.23639030682133164
first_down_rate_ewm_diff,3018,0.5907886017229954,0.6651415146968597,0.2363923151782399
yards_per_play_l5_diff,3018,0.5911199469847581,0.6652308047405052,0.2364065285036248
yards_per_play_ewm_diff,3018,0.5964214711729622,0.6659386084785355,0.23681098549658988
punt_rate_l8_diff,3018,0.5868124585818423,0.6660353631193446,0.2368154741705234
wp_added_ewm_diff,3018,0.5854870775347912,0.6671828099808425,0.23730919046952967
total_epa_l3_diff,3018,0.5821736249171637,0.6675190236248587,0.2375401576891282
epa_per_play_l3_diff,3018,0.5791915175612988,0.6676892117838243,0.2375956280934093
completion_rate_l8_diff,3018,0.5950960901259112,0.667709681111036,0.23750490754444667
pass_epa_std_diff,3018,0.5921139827700463,0.6680409769381501,0.2373489488659745
total_epa_std_diff,3018,0.5917826375082836,0.6683559908069105,0.23762069592290305
punt_rate_l5_diff,3018,0.5874751491053678,0.6683821219206968,0.23793386366087255
success_rate_std_diff,3018,0.5828363154406891,0.6684944905610256,0.23768948776018728
epa_per_play_std_diff,3018,0.5914512922465208,0.6686555497652592,0.237649032026702
early_down_epa_l5_diff,3018,0.5881378396288933,0.6688798783005314,0.2381374547831189
punt_rate_ewm_diff,3018,0.5815109343936382,0.6692830251676933,0.23836947454081248
early_down_epa_ewm_diff,3018,0.5947647448641484,0.6693322614470136,0.23834361647895727
yards_per_play_l3_diff,3018,0.5828363154406891,0.6697191244024764,0.23855655019575217
first_down_rate_l3_diff,3018,0.574884029158383,0.6697707417033575,0.23858491778765753
pass_success_std_diff,3018,0.5931080185553347,0.670081210823045,0.23850102613738194
completion_rate_l5_diff,3018,0.5861497680583168,0.6702058696897909,0.23876322658038263
cpoe_l8_diff,3018,0.5861497680583168,0.6707064558168151,0.23897805040878464
first_down_rate_std_diff,3018,0.5861497680583168,0.6708166982486522,0.23876986927213362
completion_rate_ewm_diff,3018,0.585818422796554,0.6711336974259419,0.23920824838615412
pass_success_l3_diff,3018,0.5768721007289596,0.6712742603885303,0.23931795375540005
pass_epa_l3_diff,3018,0.5805168986083499,0.6717637862210555,0.2394452175108843
yards_per_play_std_diff,3018,0.5834990059642147,0.6717864178020465,0.239350173409339
third_down_rate_l8_diff,3018,0.5758780649436713,0.6722089652704588,0.23983859733106086
wp_added_l3_diff,3018,0.5735586481113321,0.6723915420714459,0.23981033725941303
cpoe_l5_diff,3018,0.5808482438701127,0.6735636703286437,0.2403767445538506
