dataset,status,files,paths,error
pbp,ok,28,data/raw/pbp/play_by_play_1999.parquet;data/raw/pbp/play_by_play_2000.parquet;data/raw/pbp/play_by_play_2001.parquet;data/raw/pbp/play_by_play_2002.parquet;data/raw/pbp/play_by_play_2003.parquet;data/raw/pbp/play_by_play_2004.parquet;data/raw/pbp/play_by_play_2005.parquet;data/raw/pbp/play_by_play_2006.parquet;data/raw/pbp/play_by_play_2007.parquet;data/raw/pbp/play_by_play_2008.parquet;data/raw/pbp/play_by_play_2009.parquet;data/raw/pbp/play_by_play_2010.parquet;data/raw/pbp/play_by_play_2011.parquet;data/raw/pbp/play_by_play_2012.parquet;data/raw/pbp/play_by_play_2013.parquet;data/raw/pbp/play_by_play_2014.parquet;data/raw/pbp/play_by_play_2015.parquet;data/raw/pbp/play_by_play_2016.parquet;data/raw/pbp/play_by_play_2017.parquet;data/raw/pbp/play_by_play_2018.parquet;data/raw/pbp/play_by_play_2019.parquet;data/raw/pbp/play_by_play_2020.parquet;data/raw/pbp/play_by_play_2021.parquet;data/raw/pbp/play_by_play_2022.parquet;data/raw/pbp/play_by_play_2023.parquet;data/raw/pbp/play_by_play_2024.parquet;data/raw/pbp/play_by_play_2025.parquet;data/raw/pbp/play_by_play_2026.parquet,
schedules,ok,1,data/raw/schedules/games.parquet,
player_stats,ok,365,data/raw/player_stats/player_stats_kicking_2017.parquet;data/raw/player_stats/player_stats_2021.parquet;data/raw/player_stats/player_stats_2016.parquet;data/raw/player_stats/player_stats_kicking_season_2017.parquet;data/raw/player_stats/player_stats_kicking_season_2021.parquet;data/raw/player_stats/player_stats_2017.parquet;data/raw/player_stats/player_stats_season_2021.parquet;data/raw/player_stats/player_stats_season_2016.parquet;data/raw/player_stats/player_stats_season_2020.parquet;data/raw/player_stats/player_stats_season_2017.parquet;data/raw/player_stats/player_stats_def_2016.parquet;data/raw/player_stats/player_stats_2014.parquet;data/raw/player_stats/player_stats_2018.parquet;data/raw/player_stats/player_stats_def_season_2016.parquet;data/raw/player_stats/player_stats_season_2018.parquet;data/raw/player_stats/player_stats_season_2014.parquet;data/raw/player_stats/player_stats_def_season_2005.parquet;data/raw/player_stats/player_stats_2008.parquet;data/raw/player_stats/player_stats_def_season_2009.parquet;data/raw/player_stats/player_stats_def_season_2006.parquet;data/raw/player_stats/player_stats_season_2008.parquet;data/raw/player_stats/player_stats_2022.parquet;data/raw/player_stats/player_stats_season_2022.parquet;data/raw/player_stats/stats_player_reg_2001.parquet;data/raw/player_stats/stats_player_post_2001.parquet;data/raw/player_stats/stats_player_regpost_2001.parquet;data/raw/player_stats/stats_team_reg_2001.parquet;data/raw/player_stats/stats_team_post_2001.parquet;data/raw/player_stats/stats_team_regpost_2001.parquet;data/raw/player_stats/stats_team_week_2002.parquet;data/raw/player_stats/stats_player_reg_2002.parquet;data/raw/player_stats/stats_player_post_2002.parquet;data/raw/player_stats/stats_player_regpost_2002.parquet;data/raw/player_stats/stats_team_reg_2002.parquet;data/raw/player_stats/stats_team_post_2002.parquet;data/raw/player_stats/stats_team_regpost_2002.parquet;data/raw/player_stats/stats_team_regpost_2004.parquet;data/raw/player_stats/stats_team_post_2005.parquet;data/raw/player_stats/stats_team_regpost_2005.parquet;data/raw/player_stats/stats_team_reg_2006.parquet;data/raw/player_stats/stats_team_post_2006.parquet;data/raw/player_stats/stats_team_regpost_2006.parquet;data/raw/player_stats/stats_player_reg_2008.parquet;data/raw/player_stats/stats_player_post_2008.parquet;data/raw/player_stats/stats_player_regpost_2008.parquet;data/raw/player_stats/stats_team_reg_2008.parquet;data/raw/player_stats/stats_team_post_2008.parquet;data/raw/player_stats/stats_team_regpost_2008.parquet;data/raw/player_stats/stats_player_regpost_2009.parquet;data/raw/player_stats/stats_team_reg_2009.parquet;data/raw/player_stats/stats_team_post_2009.parquet;data/raw/player_stats/stats_team_regpost_2009.parquet;data/raw/player_stats/stats_team_reg_2010.parquet;data/raw/player_stats/stats_team_post_2010.parquet;data/raw/player_stats/stats_team_regpost_2010.parquet;data/raw/player_stats/stats_player_reg_2011.parquet;data/raw/player_stats/stats_player_post_2011.parquet;data/raw/player_stats/stats_player_regpost_2011.parquet;data/raw/player_stats/stats_team_reg_2011.parquet;data/raw/player_stats/stats_team_post_2011.parquet;data/raw/player_stats/stats_team_regpost_2011.parquet;data/raw/player_stats/stats_player_reg_2013.parquet;data/raw/player_stats/stats_player_post_2013.parquet;data/raw/player_stats/stats_player_regpost_2013.parquet;data/raw/player_stats/stats_team_reg_2013.parquet;data/raw/player_stats/stats_team_post_2013.parquet;data/raw/player_stats/stats_team_regpost_2013.parquet;data/raw/player_stats/stats_team_post_2015.parquet;data/raw/player_stats/stats_team_regpost_2015.parquet;data/raw/player_stats/stats_player_week_2016.parquet;data/raw/player_stats/stats_team_week_2016.parquet;data/raw/player_stats/stats_player_reg_2016.parquet;data/raw/player_stats/stats_player_post_2016.parquet;data/raw/player_stats/stats_player_regpost_2016.parquet;data/raw/player_stats/stats_team_reg_2016.parquet;data/raw/player_stats/stats_team_post_2016.parquet;data/raw/player_stats/stats_team_regpost_2016.parquet;data/raw/player_stats/stats_team_week_2018.parquet;data/raw/player_stats/stats_player_reg_2018.parquet;data/raw/player_stats/stats_player_post_2018.parquet;data/raw/player_stats/stats_player_regpost_2018.parquet;data/raw/player_stats/stats_team_reg_2018.parquet;data/raw/player_stats/stats_team_post_2018.parquet;data/raw/player_stats/stats_team_regpost_2018.parquet;data/raw/player_stats/stats_team_week_2019.parquet;data/raw/player_stats/stats_player_reg_2019.parquet;data/raw/player_stats/stats_player_post_2019.parquet;data/raw/player_stats/stats_player_regpost_2019.parquet;data/raw/player_stats/stats_team_reg_2019.parquet;data/raw/player_stats/stats_team_post_2019.parquet;data/raw/player_stats/stats_team_regpost_2019.parquet;data/raw/player_stats/stats_team_week_2020.parquet;data/raw/player_stats/stats_player_reg_2020.parquet;data/raw/player_stats/stats_player_post_2020.parquet;data/raw/player_stats/stats_player_regpost_2020.parquet;data/raw/player_stats/stats_team_reg_2020.parquet;data/raw/player_stats/stats_team_post_2020.parquet;data/raw/player_stats/stats_team_regpost_2020.parquet;data/raw/player_stats/stats_player_regpost_2021.parquet;data/raw/player_stats/stats_team_reg_2021.parquet;data/raw/player_stats/stats_team_post_2021.parquet;data/raw/player_stats/stats_team_regpost_2021.parquet;data/raw/player_stats/stats_team_week_2022.parquet;data/raw/player_stats/stats_player_reg_2022.parquet;data/raw/player_stats/stats_player_post_2022.parquet;data/raw/player_stats/stats_player_regpost_2022.parquet;data/raw/player_stats/stats_team_reg_2022.parquet;data/raw/player_stats/stats_team_post_2022.parquet;data/raw/player_stats/stats_team_regpost_2022.parquet;data/raw/player_stats/stats_team_week_2023.parquet;data/raw/player_stats/stats_player_reg_2023.parquet;data/raw/player_stats/stats_player_post_2023.parquet;data/raw/player_stats/stats_player_regpost_2023.parquet;data/raw/player_stats/stats_team_reg_2023.parquet;data/raw/player_stats/stats_team_post_2023.parquet;data/raw/player_stats/stats_team_regpost_2023.parquet;data/raw/player_stats/player_stats_2023.parquet;data/raw/player_stats/player_stats_season_2023.parquet;data/raw/player_stats/player_stats_def_2024.parquet;data/raw/player_stats/player_stats_def_season_2024.parquet;data/raw/player_stats/stats_player_reg_2024.parquet;data/raw/player_stats/stats_player_post_2024.parquet;data/raw/player_stats/stats_player_regpost_2024.parquet;data/raw/player_stats/stats_team_reg_2024.parquet;data/raw/player_stats/stats_team_post_2024.parquet;data/raw/player_stats/stats_team_regpost_2024.parquet;data/raw/player_stats/player_stats_kicking_2003.parquet;data/raw/player_stats/player_stats_kicking_season_2003.parquet;data/raw/player_stats/player_stats_kicking_2005.parquet;data/raw/player_stats/player_stats_def_2003.parquet;data/raw/player_stats/player_stats_kicking_2000.parquet;data/raw/player_stats/player_stats_kicking_season_2000.parquet;data/raw/player_stats/player_stats_def_season_2003.parquet;data/raw/player_stats/player_stats_kicking_season_2005.parquet;data/raw/player_stats/player_stats_2003.parquet;data/raw/player_stats/player_stats_season_2003.parquet;data/raw/player_stats/player_stats_1999.parquet;data/raw/player_stats/player_stats_season_1999.parquet;data/raw/player_stats/stats_player_week_2000.parquet;data/raw/player_stats/stats_team_week_2000.parquet;data/raw/player_stats/player_stats_2012.parquet;data/raw/player_stats/player_stats_season_2012.parquet;data/raw/player_stats/player_stats_2001.parquet;data/raw/player_stats/player_stats_season_2001.parquet;data/raw/player_stats/stats_player_week_2009.parquet;data/raw/player_stats/player_stats_kicking_2007.parquet;data/raw/player_stats/player_stats_kicking_season_2007.parquet;data/raw/player_stats/stats_player_reg_2000.parquet;data/raw/player_stats/player_stats_kicking_2001.parquet;data/raw/player_stats/stats_team_week_2009.parquet;data/raw/player_stats/player_stats_kicking_season_2001.parquet;data/raw/player_stats/stats_player_post_2000.parquet;data/raw/player_stats/player_stats_2010.parquet;data/raw/player_stats/player_stats_season_2010.parquet;data/raw/player_stats/stats_player_regpost_2000.parquet;data/raw/player_stats/player_stats_2000.parquet;data/raw/player_stats/player_stats_season_2000.parquet;data/raw/player_stats/stats_player_reg_2009.parquet;data/raw/player_stats/stats_team_reg_2000.parquet;data/raw/player_stats/stats_team_post_2000.parquet;data/raw/player_stats/stats_team_regpost_2000.parquet;data/raw/player_stats/player_stats_kicking_2011.parquet;data/raw/player_stats/player_stats_kicking_season_2011.parquet;data/raw/player_stats/player_stats_kicking_2008.parquet;data/raw/player_stats/player_stats_def_2017.parquet;data/raw/player_stats/player_stats_kicking_2016.parquet;data/raw/player_stats/player_stats_kicking_season_2016.parquet;data/raw/player_stats/player_stats_def_season_2017.parquet;data/raw/player_stats/player_stats_kicking_season_2008.parquet;data/raw/player_stats/player_stats_def_2020.parquet;data/raw/player_stats/player_stats_def_season_2020.parquet;data/raw/player_stats/stats_player_week_2012.parquet;data/raw/player_stats/stats_team_week_2012.parquet;data/raw/player_stats/player_stats_def_2002.parquet;data/raw/player_stats/player_stats_def_season_2002.parquet;data/raw/player_stats/player_stats_2005.parquet;data/raw/player_stats/player_stats_season_2005.parquet;data/raw/player_stats/stats_player_reg_2012.parquet;data/raw/player_stats/stats_player_post_2012.parquet;data/raw/player_stats/stats_player_regpost_2012.parquet;data/raw/player_stats/stats_player_week_2006.parquet;data/raw/player_stats/player_stats_2011.parquet;data/raw/player_stats/player_stats_season_2011.parquet;data/raw/player_stats/player_stats_2002.parquet;data/raw/player_stats/player_stats_season_2002.parquet;data/raw/player_stats/stats_team_reg_2012.parquet;data/raw/player_stats/stats_team_post_2012.parquet;data/raw/player_stats/stats_player_week_2018.parquet;data/raw/player_stats/player_stats_def_2021.parquet;data/raw/player_stats/stats_team_regpost_2012.parquet;data/raw/player_stats/stats_team_week_2006.parquet;data/raw/player_stats/player_stats_def_season_2021.parquet;data/raw/player_stats/stats_player_week_2017.parquet;data/raw/player_stats/stats_team_week_2017.parquet;data/raw/player_stats/player_stats_def_2008.parquet;data/raw/player_stats/player_stats_def_season_2008.parquet;data/raw/player_stats/stats_player_reg_2006.parquet;data/raw/player_stats/stats_player_post_2006.parquet;data/raw/player_stats/player_stats_kicking_2019.parquet;data/raw/player_stats/player_stats_kicking_2010.parquet;data/raw/player_stats/player_stats_kicking_season_2010.parquet;data/raw/player_stats/stats_player_reg_2017.parquet;data/raw/player_stats/player_stats_def_2012.parquet;data/raw/player_stats/player_stats_def_season_2012.parquet;data/raw/player_stats/player_stats_kicking_season_2019.parquet;data/raw/player_stats/stats_player_post_2017.parquet;data/raw/player_stats/stats_player_regpost_2017.parquet;data/raw/player_stats/player_stats_kicking_2015.parquet;data/raw/player_stats/stats_team_reg_2017.parquet;data/raw/player_stats/stats_player_regpost_2006.parquet;data/raw/player_stats/stats_team_post_2017.parquet;data/raw/player_stats/stats_team_regpost_2017.parquet;data/raw/player_stats/player_stats_kicking_season_2015.parquet;data/raw/player_stats/player_stats_kicking_2018.parquet;data/raw/player_stats/player_stats_kicking_season_2018.parquet;data/raw/player_stats/player_stats_kicking_2006.parquet;data/raw/player_stats/player_stats_kicking_season_2006.parquet;data/raw/player_stats/player_stats_kicking_season_2012.parquet;data/raw/player_stats/player_stats_def_2015.parquet;data/raw/player_stats/player_stats_def_season_2015.parquet;data/raw/player_stats/player_stats_def_1999.parquet;data/raw/player_stats/player_stats_def_season_1999.parquet;data/raw/player_stats/player_stats_def_2004.parquet;data/raw/player_stats/player_stats_def_season_2004.parquet;data/raw/player_stats/stats_player_week_2014.parquet;data/raw/player_stats/stats_team_week_2014.parquet;data/raw/player_stats/stats_player_week_2003.parquet;data/raw/player_stats/stats_team_week_2003.parquet;data/raw/player_stats/stats_player_week_2015.parquet;data/raw/player_stats/stats_team_week_2015.parquet;data/raw/player_stats/stats_player_reg_2014.parquet;data/raw/player_stats/stats_player_post_2014.parquet;data/raw/player_stats/stats_player_regpost_2014.parquet;data/raw/player_stats/stats_player_reg_2003.parquet;data/raw/player_stats/stats_player_post_2003.parquet;data/raw/player_stats/stats_team_reg_2014.parquet;data/raw/player_stats/stats_player_reg_2015.parquet;data/raw/player_stats/player_stats_2006.parquet;data/raw/player_stats/stats_player_regpost_2003.parquet;data/raw/player_stats/player_stats_season_2006.parquet;data/raw/player_stats/stats_player_week_2004.parquet;data/raw/player_stats/stats_team_week_2004.parquet;data/raw/player_stats/stats_team_post_2014.parquet;data/raw/player_stats/stats_player_post_2015.parquet;data/raw/player_stats/stats_team_reg_2003.parquet;data/raw/player_stats/stats_team_post_2003.parquet;data/raw/player_stats/stats_team_regpost_2003.parquet;data/raw/player_stats/stats_player_regpost_2015.parquet;data/raw/player_stats/stats_team_regpost_2014.parquet;data/raw/player_stats/stats_player_reg_2004.parquet;data/raw/player_stats/stats_player_post_2004.parquet;data/raw/player_stats/stats_player_regpost_2004.parquet;data/raw/player_stats/player_stats_kicking_2004.parquet;data/raw/player_stats/player_stats_kicking_season_2004.parquet;data/raw/player_stats/player_stats_def_2023.parquet;data/raw/player_stats/stats_team_reg_2004.parquet;data/raw/player_stats/player_stats_def_season_2023.parquet;data/raw/player_stats/stats_player_week_2001.parquet;data/raw/player_stats/stats_team_reg_2015.parquet;data/raw/player_stats/stats_player_week_2020.parquet;data/raw/player_stats/player_stats_def_2009.parquet;data/raw/player_stats/stats_team_post_2004.parquet;data/raw/player_stats/stats_team_week_2001.parquet;data/raw/player_stats/player_stats_kicking_2009.parquet;data/raw/player_stats/player_stats_kicking_season_2009.parquet;data/raw/player_stats/player_stats_kicking_1999.parquet;data/raw/player_stats/player_stats_def_2022.parquet;data/raw/player_stats/player_stats_def_2001.parquet;data/raw/player_stats/player_stats_def_season_2001.parquet;data/raw/player_stats/player_stats_def_2007.parquet;data/raw/player_stats/player_stats_kicking_2024.parquet;data/raw/player_stats/player_stats_def_season_2022.parquet;data/raw/player_stats/player_stats_kicking_season_1999.parquet;data/raw/player_stats/player_stats_def_2010.parquet;data/raw/player_stats/player_stats_kicking_season_2024.parquet;data/raw/player_stats/player_stats_def_season_2007.parquet;data/raw/player_stats/player_stats_kicking_2012.parquet;data/raw/player_stats/player_stats_def_season_2010.parquet;data/raw/player_stats/stats_player_week_2022.parquet;data/raw/player_stats/stats_player_week_2005.parquet;data/raw/player_stats/player_stats_def_2006.parquet;data/raw/player_stats/player_stats_kicking_2022.parquet;data/raw/player_stats/player_stats_kicking_season_2022.parquet;data/raw/player_stats/stats_team_week_2005.parquet;data/raw/player_stats/stats_player_week_2010.parquet;data/raw/player_stats/stats_team_week_2010.parquet;data/raw/player_stats/stats_player_week_1999.parquet;data/raw/player_stats/stats_team_week_1999.parquet;data/raw/player_stats/stats_player_week_2007.parquet;data/raw/player_stats/stats_team_week_2007.parquet;data/raw/player_stats/stats_player_reg_2005.parquet;data/raw/player_stats/stats_player_post_2005.parquet;data/raw/player_stats/stats_player_regpost_2005.parquet;data/raw/player_stats/stats_player_reg_2010.parquet;data/raw/player_stats/stats_player_post_2010.parquet;data/raw/player_stats/player_stats_kicking_2014.parquet;data/raw/player_stats/player_stats_kicking_season_2014.parquet;data/raw/player_stats/stats_player_reg_1999.parquet;data/raw/player_stats/stats_player_post_1999.parquet;data/raw/player_stats/stats_player_regpost_1999.parquet;data/raw/player_stats/stats_player_reg_2007.parquet;data/raw/player_stats/stats_player_post_2007.parquet;data/raw/player_stats/stats_player_regpost_2007.parquet;data/raw/player_stats/stats_team_reg_1999.parquet;data/raw/player_stats/stats_team_post_1999.parquet;data/raw/player_stats/stats_team_regpost_1999.parquet;data/raw/player_stats/player_stats_kicking_2020.parquet;data/raw/player_stats/player_stats_kicking_season_2020.parquet;data/raw/player_stats/stats_player_regpost_2010.parquet;data/raw/player_stats/stats_team_reg_2007.parquet;data/raw/player_stats/stats_team_post_2007.parquet;data/raw/player_stats/stats_team_regpost_2007.parquet;data/raw/player_stats/stats_team_reg_2005.parquet;data/raw/player_stats/player_stats_kicking_2023.parquet;data/raw/player_stats/player_stats_kicking_season_2023.parquet;data/raw/player_stats/player_stats_def_2014.parquet;data/raw/player_stats/player_stats_def_season_2014.parquet;data/raw/player_stats/player_stats_2024.parquet;data/raw/player_stats/player_stats_season_2024.parquet;data/raw/player_stats/player_stats_2009.parquet;data/raw/player_stats/player_stats_season_2009.parquet;data/raw/player_stats/player_stats_def_2019.parquet;data/raw/player_stats/player_stats_def_season_2019.parquet;data/raw/player_stats/player_stats_def_2018.parquet;data/raw/player_stats/player_stats_def_season_2018.parquet;data/raw/player_stats/player_stats_2020.parquet;data/raw/player_stats/player_stats_2015.parquet;data/raw/player_stats/player_stats_season_2015.parquet;data/raw/player_stats/stats_player_week_2021.parquet;data/raw/player_stats/stats_team_week_2021.parquet;data/raw/player_stats/stats_player_week_2013.parquet;data/raw/player_stats/stats_team_week_2013.parquet;data/raw/player_stats/stats_player_week_2024.parquet;data/raw/player_stats/stats_team_week_2024.parquet;data/raw/player_stats/stats_player_week_2011.parquet;data/raw/player_stats/stats_team_week_2011.parquet;data/raw/player_stats/stats_player_reg_2021.parquet;data/raw/player_stats/stats_player_week_2008.parquet;data/raw/player_stats/player_stats_def_2005.parquet;data/raw/player_stats/stats_player_week_2023.parquet;data/raw/player_stats/stats_team_week_2008.parquet;data/raw/player_stats/player_stats_2004.parquet;data/raw/player_stats/player_stats_season_2004.parquet;data/raw/player_stats/player_stats_2007.parquet;data/raw/player_stats/player_stats_season_2007.parquet;data/raw/player_stats/player_stats_2019.parquet;data/raw/player_stats/player_stats_season_2019.parquet;data/raw/player_stats/player_stats_2013.parquet;data/raw/player_stats/player_stats_season_2013.parquet;data/raw/player_stats/player_stats.parquet;data/raw/player_stats/player_stats_season.parquet;data/raw/player_stats/player_stats_def_2000.parquet;data/raw/player_stats/player_stats_def_season_2000.parquet;data/raw/player_stats/player_stats_def_2011.parquet;data/raw/player_stats/player_stats_def_season_2011.parquet;data/raw/player_stats/player_stats_def_2013.parquet;data/raw/player_stats/player_stats_def_season_2013.parquet;data/raw/player_stats/player_stats_kicking_2013.parquet;data/raw/player_stats/player_stats_kicking_season_2013.parquet;data/raw/player_stats/player_stats_kicking_2002.parquet;data/raw/player_stats/player_stats_kicking_season_2002.parquet;data/raw/player_stats/player_stats_def.parquet;data/raw/player_stats/player_stats_def_season.parquet;data/raw/player_stats/player_stats_kicking.parquet;data/raw/player_stats/player_stats_kicking_season.parquet,
team_stats,unavailable,0,,404 Client Error: Not Found for url: https://api.github.com/repos/nflverse/nflverse-data/releases/tags/team_stats
players,ok,1,data/raw/players/players.parquet,
rosters,ok,28,data/raw/rosters/roster_1999.parquet;data/raw/rosters/roster_2000.parquet;data/raw/rosters/roster_2001.parquet;data/raw/rosters/roster_2002.parquet;data/raw/rosters/roster_2003.parquet;data/raw/rosters/roster_2004.parquet;data/raw/rosters/roster_2005.parquet;data/raw/rosters/roster_2006.parquet;data/raw/rosters/roster_2007.parquet;data/raw/rosters/roster_2008.parquet;data/raw/rosters/roster_2009.parquet;data/raw/rosters/roster_2010.parquet;data/raw/rosters/roster_2011.parquet;data/raw/rosters/roster_2012.parquet;data/raw/rosters/roster_2013.parquet;data/raw/rosters/roster_2014.parquet;data/raw/rosters/roster_2015.parquet;data/raw/rosters/roster_2016.parquet;data/raw/rosters/roster_2017.parquet;data/raw/rosters/roster_2018.parquet;data/raw/rosters/roster_2019.parquet;data/raw/rosters/roster_2020.parquet;data/raw/rosters/roster_2021.parquet;data/raw/rosters/roster_2022.parquet;data/raw/rosters/roster_2023.parquet;data/raw/rosters/roster_2024.parquet;data/raw/rosters/roster_2025.parquet;data/raw/rosters/roster_2026.parquet,
rosters,unavailable,0,,"(""Could not convert '27' with type str: tried to convert to int64"", 'Conversion failed for column jersey_number with type object')"
weekly_rosters,ok,25,data/raw/weekly_rosters/roster_weekly_2002.parquet;data/raw/weekly_rosters/roster_weekly_2003.parquet;data/raw/weekly_rosters/roster_weekly_2004.parquet;data/raw/weekly_rosters/roster_weekly_2005.parquet;data/raw/weekly_rosters/roster_weekly_2006.parquet;data/raw/weekly_rosters/roster_weekly_2007.parquet;data/raw/weekly_rosters/roster_weekly_2008.parquet;data/raw/weekly_rosters/roster_weekly_2009.parquet;data/raw/weekly_rosters/roster_weekly_2010.parquet;data/raw/weekly_rosters/roster_weekly_2011.parquet;data/raw/weekly_rosters/roster_weekly_2012.parquet;data/raw/weekly_rosters/roster_weekly_2013.parquet;data/raw/weekly_rosters/roster_weekly_2014.parquet;data/raw/weekly_rosters/roster_weekly_2015.parquet;data/raw/weekly_rosters/roster_weekly_2016.parquet;data/raw/weekly_rosters/roster_weekly_2017.parquet;data/raw/weekly_rosters/roster_weekly_2018.parquet;data/raw/weekly_rosters/roster_weekly_2019.parquet;data/raw/weekly_rosters/roster_weekly_2020.parquet;data/raw/weekly_rosters/roster_weekly_2021.parquet;data/raw/weekly_rosters/roster_weekly_2022.parquet;data/raw/weekly_rosters/roster_weekly_2023.parquet;data/raw/weekly_rosters/roster_weekly_2024.parquet;data/raw/weekly_rosters/roster_weekly_2025.parquet;data/raw/weekly_rosters/roster_weekly_2026.parquet,
weekly_rosters,unavailable,0,,"(""Expected bytes, got a 'float' object"", 'Conversion failed for column jersey_number with type object')"
snap_counts,ok,15,data/raw/snap_counts/snap_counts_2012.parquet;data/raw/snap_counts/snap_counts_2013.parquet;data/raw/snap_counts/snap_counts_2014.parquet;data/raw/snap_counts/snap_counts_2015.parquet;data/raw/snap_counts/snap_counts_2016.parquet;data/raw/snap_counts/snap_counts_2017.parquet;data/raw/snap_counts/snap_counts_2018.parquet;data/raw/snap_counts/snap_counts_2019.parquet;data/raw/snap_counts/snap_counts_2020.parquet;data/raw/snap_counts/snap_counts_2021.parquet;data/raw/snap_counts/snap_counts_2022.parquet;data/raw/snap_counts/snap_counts_2023.parquet;data/raw/snap_counts/snap_counts_2024.parquet;data/raw/snap_counts/snap_counts_2025.parquet;data/raw/snap_counts/snap_counts_2026.parquet,
